Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
CreditoUruguayo,Chrome 94.0.4606.81,,,2021-10-18 17:02:38,2021-10-18 17:05:46,"3m - 8,539s",FAILED
,,,,,,,
Test Cases/0_Generales/Generar cedula random,Chrome 94.0.4606.81,,,2021-10-18 17:02:38,2021-10-18 17:02:42,"4,348s",PASSED
"openBrowser(""https://picandocodigo.github.io/ci_js/"")",Chrome 94.0.4606.81,,,2021-10-18 17:02:38,2021-10-18 17:02:41,"2,741s",PASSED
maximizeWindow(),Chrome 94.0.4606.81,,,2021-10-18 17:02:41,2021-10-18 17:02:41,"0,174s",PASSED
"click(findTestObject(""Generador de cedulas/botonGenerar""))",Chrome 94.0.4606.81,,,2021-10-18 17:02:41,2021-10-18 17:02:42,"0,510s",PASSED
"cedulaRandom = getAttribute(findTestObject(""Generador de cedulas/obtenerCedulaRandom""), ""value"")",Chrome 94.0.4606.81,,,2021-10-18 17:02:42,2021-10-18 17:02:42,"0,604s",PASSED
,,,,,,,
Test Cases/CreditoUruguayo/CreditoUruguayo,Chrome 94.0.4606.81,,,2021-10-18 17:02:42,2021-10-18 17:04:05,"1m - 22,106s",PASSED
currentPage = getUrl(),Chrome 94.0.4606.81,Javascript para abrir nueva pestaña,,2021-10-18 17:02:43,2021-10-18 17:02:43,"0,017s",PASSED
currentTab = getWindowIndex(),Chrome 94.0.4606.81,Javascript para abrir nueva pestaña,,2021-10-18 17:02:43,2021-10-18 17:02:43,"0,020s",PASSED
driver = getWebDriver(),Chrome 94.0.4606.81,Javascript para abrir nueva pestaña,,2021-10-18 17:02:43,2021-10-18 17:02:43,"0,009s",PASSED
js = driver,Chrome 94.0.4606.81,Javascript para abrir nueva pestaña,,2021-10-18 17:02:43,2021-10-18 17:02:43,"0,017s",PASSED
"js.executeScript(""window.open();"")",Chrome 94.0.4606.81,Javascript para abrir nueva pestaña,,2021-10-18 17:02:43,2021-10-18 17:02:43,"0,027s",PASSED
switchToWindowIndex(currentTab + 1),Chrome 94.0.4606.81,Javascript para abrir nueva pestaña,,2021-10-18 17:02:43,2021-10-18 17:02:43,"0,041s",PASSED
navigateToUrl(CreditoUruguayo),Chrome 94.0.4606.81,,,2021-10-18 17:02:43,2021-10-18 17:02:48,"4,300s",PASSED
"waitForElementPresent(findTestObject(""CreditoUruguayo/Inicio/a_InicioFlujo""), 0)",Chrome 94.0.4606.81,,,2021-10-18 17:02:48,2021-10-18 17:02:48,"0,338s",PASSED
"enhancedClick(findTestObject(""CreditoUruguayo/Inicio/a_InicioFlujo""))",Chrome 94.0.4606.81,,,2021-10-18 17:02:48,2021-10-18 17:02:48,"0,444s",PASSED
"waitForElementPresent(findTestObject(""CreditoUruguayo/Flujo 1/input_Cedula""), 0)",Chrome 94.0.4606.81,,,2021-10-18 17:02:48,2021-10-18 17:02:49,"0,984s",PASSED
"setText(findTestObject(""CreditoUruguayo/Flujo 1/input_Cedula""), cedulaRandom)",Chrome 94.0.4606.81,,,2021-10-18 17:02:49,2021-10-18 17:02:50,"1,027s",PASSED
"setText(findTestObject(""CreditoUruguayo/Flujo 1/input_Celular""), findTestData(""DatosUsuario"").getValue(2, 3))",Chrome 94.0.4606.81,,,2021-10-18 17:02:50,2021-10-18 17:02:51,"0,845s",PASSED
"enhancedClick(findTestObject(""CreditoUruguayo/Flujo 1/input_TyC""))",Chrome 94.0.4606.81,,,2021-10-18 17:02:51,2021-10-18 17:02:52,"0,577s",PASSED
"enhancedClick(findTestObject(""CreditoUruguayo/Flujo 1/button_Continuar-1""))",Chrome 94.0.4606.81,,,2021-10-18 17:02:52,2021-10-18 17:02:52,"0,490s",PASSED
"waitForElementPresent(findTestObject(""CreditoUruguayo/Flujo 2/input_Nombre""), 0)",Chrome 94.0.4606.81,,,2021-10-18 17:02:52,2021-10-18 17:02:54,"1,210s",PASSED
"setText(findTestObject(""CreditoUruguayo/Flujo 2/input_Nombre""), findTestData(""DatosUsuario"").getValue(2, 7))",Chrome 94.0.4606.81,,,2021-10-18 17:02:54,2021-10-18 17:02:54,"0,935s",PASSED
"setText(findTestObject(""CreditoUruguayo/Flujo 2/input_Apellido""), findTestData(""DatosUsuario"").getValue(2, 8))",Chrome 94.0.4606.81,,,2021-10-18 17:02:54,2021-10-18 17:02:55,"0,702s",PASSED
"selectOptionByValue(findTestObject(""CreditoUruguayo/Flujo 2/select_Dia""), ""15"", false)",Chrome 94.0.4606.81,,,2021-10-18 17:02:55,2021-10-18 17:02:56,"0,717s",PASSED
"selectOptionByValue(findTestObject(""CreditoUruguayo/Flujo 2/select_Mes""), ""10"", false)",Chrome 94.0.4606.81,,,2021-10-18 17:02:56,2021-10-18 17:02:57,"0,717s",PASSED
"selectOptionByValue(findTestObject(""CreditoUruguayo/Flujo 2/select_Anio""), ""1970"", false)",Chrome 94.0.4606.81,,,2021-10-18 17:02:57,2021-10-18 17:02:57,"0,677s",PASSED
delay(0.7),Chrome 94.0.4606.81,,,2021-10-18 17:02:57,2021-10-18 17:02:58,"0,732s",PASSED
"setText(findTestObject(""CreditoUruguayo/Flujo 2/input_Email""), findTestData(""DatosUsuario"").getValue(2, 6))",Chrome 94.0.4606.81,,,2021-10-18 17:02:58,2021-10-18 17:02:59,"0,955s",PASSED
delay(0.7),Chrome 94.0.4606.81,,,2021-10-18 17:02:59,2021-10-18 17:03:00,"0,705s",PASSED
"sendKeys(findTestObject(""CreditoUruguayo/Flujo 2/emailNoValidoFocus""), Keys.chord(BACK_SPACE))",Chrome 94.0.4606.81,,,2021-10-18 17:03:00,2021-10-18 17:03:00,"0,368s",PASSED
"sendKeys(findTestObject(""CreditoUruguayo/Flujo 2/input_Email""), Keys.chord(TAB))",Chrome 94.0.4606.81,,,2021-10-18 17:03:00,2021-10-18 17:03:01,"0,715s",PASSED
"enhancedClick(findTestObject(""CreditoUruguayo/Flujo 2/Departamento_1""))",Chrome 94.0.4606.81,,,2021-10-18 17:03:01,2021-10-18 17:03:01,"0,479s",PASSED
